"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"The USA needs more ""Latte Papa's"".
#AdultingAndStuff #Starbucks #BringOnTheBuzz #coffeetime https://t.co/6hPZkWmgdX",FALSE,0,NA,2019-10-14 15:05:49,FALSE,NA,"1183760830749233152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DorothyRobot37",0,FALSE,FALSE,NA,NA
"EchoGamesOG : Time to pull myself back up and fight through it... Need to edit one. Film 3 more. Then prepare for m… https://t.co/vyOnUJfoPh",FALSE,1,NA,2019-10-14 15:02:18,TRUE,NA,"1183759942169382917",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","LRonXenu",0,FALSE,FALSE,NA,NA
"Catch a coffee buzz with a double shot of espresso to start your Monday morning 
-
-
-
-
-
-
-
#coffee #monday… https://t.co/TxFPgo74Pa",FALSE,1,NA,2019-10-14 15:00:50,TRUE,NA,"1183759575247478784",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","ManScore",0,FALSE,FALSE,NA,NA
"new drink is coming tomorrow  #starbucks #DraculaFrappuccino <U+0001F479> https://t.co/GzMvX7MJMS",FALSE,0,NA,2019-10-14 15:00:41,FALSE,NA,"1183759536856817667",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","thelittlexshaa",0,FALSE,FALSE,NA,NA
"Coffee...
New blog! Check it out! #coffee #starbucks #thecoffeebean #coldbrew #peetscoffee #cafe #latte #espresso… https://t.co/jkSdhvaS65",FALSE,0,NA,2019-10-14 15:00:10,TRUE,NA,"1183759405235560449",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","itsjusttiana1",0,FALSE,FALSE,NA,NA
"Have you entered our #Starbucks giveaway? Head to our post from October 10th to enter! https://t.co/GnJHKNwbhU",FALSE,0,NA,2019-10-14 15:00:08,FALSE,NA,"1183759398918901760",NA,"<a href=""http://app.sendblur.com"" rel=""nofollow"">Social Media Publisher App </a>","FoulksHvac",0,FALSE,FALSE,NA,NA
"Time to pull myself back up and fight through it... Need to edit one. Film 3 more. Then prepare for my surgery... I… https://t.co/nFDvHeHEWc",FALSE,5,NA,2019-10-14 14:55:52,TRUE,NA,"1183758324849922048",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","EchoGamesOG",0,FALSE,FALSE,"-82.80015171","27.96547259"
"Today required a BIG ONE. Caffeine needed. @starbucks #starbucks #caffienefix @ Starbucks https://t.co/4iiFZl6rNm",FALSE,1,NA,2019-10-14 14:52:40,FALSE,NA,"1183757520298500097",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LauraMillerTime",0,FALSE,FALSE,"-89.60537879","39.80151936"
"RT @EcoPrintPromo: Love to see how different @Starbucks are trying to be more ecofriendly.  Now let’s get rid of plastic water bottles for…",FALSE,0,NA,2019-10-14 14:50:54,FALSE,NA,"1183757075580477440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EarthAccounting",1,TRUE,FALSE,NA,NA
"RT @solinagalo: Studying my monlogue at #starbucks <U+2615> https://t.co/781VFKV8F2 https://t.co/IgCKK9wbwW",FALSE,0,NA,2019-10-14 14:49:12,FALSE,NA,"1183756649204334592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fatilatuti",1,TRUE,FALSE,NA,NA
