Player,Pos,Height,Weight,Birthdate,Country,Experience,College,Salary,Age,Height_cm,College,Player_2
dewayne dedmon,C,Jul-00,245,32732,us,1,USC,816482,25,213.36,USC,"Dedmon, Dewayne"
matthew dellavedova,SG,4-Jun,200,33124,au,1,Saint Mary's,816482,24,193.04,Saint Mary's,"Dellavedova, Matthew"
luol deng,SF,9-Jun,237,31153,ss,10,Duke,9714461,29,205.74,Duke,"Deng, Luol"
demar derozan,SG,7-Jun,220,32727,us,5,USC,9500000,25,200.66,USC,"DeRozan, DeMar"
boris diaw,PF,8-Jun,250,30057,fr,11,,7500000,32,203.2,,"Diaw, Boris"
gorgui dieng,C,11-Jun,252,32891,sn,1,Louisville,1413480,24,210.82,Louisville,"Dieng, Gorgui"
spencer dinwiddie,PG,6-Jun,210,34065,us,0,Colorado,700000,21,198.12,Colorado,"Dinwiddie, Spencer"
joey dorsey,PF,8-Jun,268,30666,us,3,Memphis,948163,30,203.2,Memphis,"Dorsey, Joey"
toney douglas,SG,2-Jun,195,31487,us,5,"Auburn, Florida State",268974,28,187.96,Auburn,"Douglas, Toney"
chris douglas-roberts,SG,7-Jun,200,31785,us,5,Memphis,915243,27,200.66,Memphis,"Douglas-Roberts, Chris"
goran dragic,PG,3-Jun,190,31538,si,6,,7500000,28,190.5,,"Dragic, Goran"
zoran dragic,SG,5-Jun,200,32681,si,0,,1962103,25,195.58,,"Dragic, Zoran"
larry drew,PG,2-Jun,180,32937,us,0,"UNC, UCLA",59686,24,187.96,UNC,"Drew, Larry"
andre drummond,C,11-Jun,279,34191,us,2,UConn,2568360,21,210.82,UConn,"Drummond, Andre"
jared dudley,SG,7-Jun,237,31238,us,7,Boston College,4250000,29,200.66,Boston College,"Dudley, Jared"
tim duncan,C,11-Jun,250,27875,vi,17,Wake Forest,10000000,38,210.82,Wake Forest,"Duncan, Tim"
mike dunleavy,SF,9-Jun,230,29479,us,12,Duke,3326235,34,205.74,Duke,"Dunleavy, Mike"
kevin durant,SF,9-Jun,240,32415,us,7,Texas,18995624,26,205.74,Texas,"Durant, Kevin"
cleanthony early,SF,8-Jun,210,33345,us,0,Wichita State,507336,23,203.2,Wichita State,"Early, Cleanthony"
wayne ellington,SG,5-Jun,200,32110,us,5,UNC,1063384,26,195.58,UNC,"Ellington, Wayne"
mnta ellis,SG,3-Jun,185,31346,us,9,,8360000,28,190.5,,"Ellis, Monta"
james ennis,SF,7-Jun,210,33055,us,0,Cal State Long Beach,507336,24,200.66,Cal State Long Beach,"Ennis, James"
tyler ennis,PG,3-Jun,194,34570,ca,0,Syracuse,1590720,20,190.5,Syracuse,"Ennis, Tyler"
jeremy evans,SF,9-Jun,200,32074,us,4,Western Kentucky,1794871,26,205.74,Western Kentucky,"Evans, Jeremy"
reggie evans,PF,8-Jun,245,29359,us,12,Iowa,1768653,34,203.2,Iowa,"Evans, Reggie"
tyreke evans,SG,6-Jun,220,32770,us,5,Memphis,10763500,25,198.12,Memphis,"Evans, Tyreke"
dante exum,PG,6-Jun,190,34893,au,0,,3615000,19,198.12,,"Exum, Dante"
festus ezeli,C,11-Jun,255,32802,ng,1,Vanderbilt,1112880,24,210.82,Vanderbilt,"Ezeli, Festus"
kenneth faried,PF,8-Jun,220,32831,us,3,Morehead State University,2249768,24,203.2,Morehead State University,"Faried, Kenneth"
jordan farmar,PG,2-Jun,180,31746,us,7,UCLA,2077000,27,187.96,UCLA,"Farmar, Jordan"
derrick favors,PF,10-Jun,265,33434,us,4,Georgia Tech,12833333,23,208.28,Georgia Tech,"Favors, Derrick"
raymond felton,PG,1-Jun,205,30859,us,9,UNC,3793693,30,185.42,UNC,"Felton, Raymond"
landry fields,SF,7-Jun,210,32321,us,4,Stanford,6250000,26,200.66,Stanford,"Fields, Landry"
evan fournier,SG,7-Jun,205,33906,fr,2,,1483920,21,200.66,,"Fournier, Evan"
randy foye,SG,4-Jun,213,30583,us,8,Villanova,3135000,31,193.04,Villanova,"Foye, Randy"
jamaal franklin,SG,5-Jun,191,33440,us,1,San Diego State,19914,23,195.58,San Diego State,"Franklin, Jamaal"
tim frazier,PG,1-Jun,170,33178,us,0,Penn State,59686,23,185.42,Penn State,"Frazier, Tim"
jimmer dredette,PG,2-Jun,195,32564,us,3,BYU,948163,25,187.96,BYU,"Fredette, Jimmer"
joel freeland,C,10-Jun,250,31815,gb,2,,3013512,27,208.28,,"Freeland, Joel"
channing frye,PF,Jul-00,255,30453,us,8,Arizona,8175476,31,213.36,Arizona,"Frye, Channing"
danilo gallinai,SF,10-Jun,225,32363,it,5,,10854850,26,208.28,,"Gallinari, Danilo"
langston galloway,PG,2-Jun,200,33581,us,0,Saint Joseph's,235762,22,187.96,Saint Joseph's,"Galloway, Langston"
francisco garcia,SF,7-Jun,195,29951,do,9,Louisville,1316809,32,200.66,Louisville,"Garcia, Francisco"
kevin garnett,PF,11-Jun,240,27899,us,19,,12000000,38,210.82,,"Garnett, Kevin"
marc gasol,C,1-Jul,255,31076,es,6,,15829688,29,215.9,,"Gasol, Marc"
pau gasol,PF,Jul-00,250,29408,es,13,,7128000,34,213.36,,"Gasol, Pau"
rudy gay,SF,8-Jun,230,31641,us,8,UConn,19317325,28,203.2,UConn,"Gay, Rudy"
alonzo gee,SF,6-Jun,225,31926,us,5,Alabama,1063384,27,198.12,Alabama,"Gee, Alonzo"
paul george,SF,9-Jun,220,32995,us,4,Fresno State,15925680,24,205.74,Fresno State,"George, Paul"
taj gibson,PF,9-Jun,232,31222,us,5,USC,8000000,29,205.74,USC,"Gibson, Taj"
manu ginobili,SG,6-Jun,205,28334,ar,12,,7000000,37,198.12,,"Ginobili, Manu"
rudy gobert,C,1-Jul,245,33781,fr,1,,1127400,22,215.9,,"Gobert, Rudy"
drew gooden,PF,10-Jun,250,29853,us,12,Kansas,6680000,33,208.28,Kansas,"Gooden, Drew"
archie goodwin,SG,5-Jun,200,34563,us,1,Kentucky,1112280,20,195.58,Kentucky,"Goodwin, Archie"
aaron gordon,PF,9-Jun,220,34958,us,0,Arizona,3992040,19,205.74,Arizona,"Gordon, Aaron"
ben gordon,SG,3-Jun,200,30410,gb,10,UConn,4500000,31,190.5,UConn,"Gordon, Ben"
drew gordon,PF,9-Jun,245,33066,us,0,"UCLA, New Mexico",40000,24,205.74,UCLA,"Gordon, Drew"
eric gordon,SG,4-Jun,215,32502,us,6,Indiana,14898938,25,193.04,Indiana,"Gordon, Eric"
marcin gortat,C,11-Jun,240,30729,pl,7,,10434782,30,210.82,,"Gortat, Marcin"
danny granger,SF,9-Jun,222,30426,us,9,"Bradley, New Mexico",2077000,31,205.74,Bradley,"Granger, Danny"
jerami grant,SF,9-Jun,220,34405,us,0,Syracuse,884879,20,205.74,Syracuse,"Grant, Jerami"
danny green,SG,6-Jun,215,31950,us,5,UNC,4025000,27,198.12,UNC,"Green, Danny"
draymond green,PF,7-Jun,230,32936,us,2,Michigan State,915243,24,200.66,Michigan State,"Green, Draymond"
erick green,PG,4-Jun,185,33367,us,0,Virginia Tech,507336,23,193.04,Virginia Tech,"Green, Erick"
gerald green,SG,7-Jun,205,31438,us,7,,3500000,28,200.66,,"Green, Gerald"
jamychal green,PF,9-Jun,227,33045,us,0,Alabama,59686,24,205.74,Alabama,"Green, JaMychal"
jeff green,SF,9-Jun,235,31652,us,6,Georgetown,9445000,28,205.74,Georgetown,"Green, Jeff"
willie green,SG,4-Jun,200,29795,us,11,Detroit Mercy,1448490,33,193.04,Detroit Mercy,"Green, Willie"
blake griffin,PF,10-Jun,250,32583,us,4,Oklahoma,17674612,25,208.28,Oklahoma,"Griffin, Blake"
jorge gutierrez,PG,3-Jun,191,32504,mx,1,Cal,59686,25,190.5,Cal,"Gutierrez, Jorge"
p.j. hairston,SG,6-Jun,230,33962,us,0,UNC,1149720,21,198.12,UNC,"Hairston, PJ"
jordan hamilton,SF,7-Jun,220,33152,us,3,Texas,150591,23,200.66,Texas,"Hamilton, Jordan"
justin hamilton,C,Jul-00,260,32964,us,1,"Iowa State, LSU",816482,24,213.36,Iowa State,"Hamilton, Justin"
tyler hansbrough,PF,9-Jun,250,31354,us,5,UNC,3326235,28,205.74,UNC,"Hansbrough, Tyler"
time hardaway jr,SG,6-Jun,205,33679,us,1,Michigan,1250640,22,198.12,Michigan,"Hardaway Jr., Tim"
james harden,SG,5-Jun,220,32746,us,5,Arizona State,14728844,25,195.58,Arizona State,"Harden, James"
maurice harkless,SF,9-Jun,220,34100,us,2,St. John's,1887840,21,205.74,St. John's,"Harkless, Maurice"
devin harris,PG,3-Jun,185,30374,us,10,Wisconsin,3878000,31,190.5,Wisconsin,"Harris, Devin"
gary harris,SG,4-Jun,210,34591,us,0,Michigan State,1519200,20,193.04,Michigan State,"Harris, Gary"
joe harris,SG,6-Jun,218,33487,us,0,Virginia,884879,23,198.12,Virginia,"Harris, Joe"
tobias harris,SF,9-Jun,235,33800,us,3,Tennessee,2380594,22,205.74,Tennessee,"Harris, Tobias"
udonis haslem,PF,8-Jun,235,29381,us,11,Florida,2732000,34,203.2,Florida,"Haslem, Udonis"
spencer hawes,PF,1-Jul,245,32261,us,7,Washington,5305000,26,215.9,Washington,"Hawes, Spencer"
chuck hayes,C,6-Jun,240,30478,us,9,Kentucky,5958750,31,198.12,Kentucky,"Hayes, Charles"
gordon hayward,SF,8-Jun,225,32955,us,4,Butler,14746000,24,203.2,Butler,"Hayward, Gordon"
brendan haywood,C,Jul-00,268,29186,us,12,UNC,2213688,34,213.36,UNC,"Haywood, Brendan"
gerald henderson,SG,5-Jun,215,32120,us,5,Duke,6000000,26,195.58,Duke,"Henderson, Gerald"
xavier henry,SF,6-Jun,220,33312,be,4,Kansas,1082000,23,198.12,Kansas,"Henry, Xavier"
john henson,C,11-Jun,219,33235,us,2,UNC,1987320,23,210.82,UNC,"Henson, John"
roy hibbert,C,2-Jul,270,31757,us,6,Georgetown,14898938,27,218.44,Georgetown,"Hibbert, Roy"
jj hickson,C,9-Jun,242,32390,us,6,NC State,5381750,26,205.74,NC State,"Hickson, JJ"
nene hilario,PF,11-Jun,250,30207,br,12,,13000000,32,210.82,,Nene
george hill,PG,3-Jun,188,31536,us,6,IUPUI,8000000,28,190.5,IUPUI,"Hill, George"
jordan hill,C,10-Jun,235,31985,us,5,Arizona,9000000,27,208.28,Arizona,"Hill, Jordan"
solomon hill,SF,7-Jun,225,33315,us,1,Arizona,1302840,23,200.66,Arizona,"Hill, Solomon"
kirk hinrich,SG,4-Jun,190,29588,us,11,Kansas,2730000,33,193.04,Kansas,"Hinrich, Kirk"
jrue holiday,PG,4-Jun,205,33036,us,5,UCLA,9904495,24,193.04,UCLA,"Holiday, Jrue"
justin holiday,SG,6-Jun,181,32603,us,1,Washington,816482,25,198.12,Washington,"Holiday, Justin"
ryan hollins,C,Jul-00,240,30965,us,8,UCLA,1316809,29,213.36,UCLA,"Hollins, Ryan"
